"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"571","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:09,FALSE,NA,"694669665830866944",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DmBezehertny",1528,TRUE,FALSE,NA,NA
"572","RT @rogerriley: @CarlyFiorina no show at her party as @BernieSanders on the tv @WHOhd #iacaucus https://t.co/hmi6wZK4Pw",FALSE,0,NA,2016-02-02 23:52:08,FALSE,NA,"694669661758058497",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","showenterprises",787,TRUE,FALSE,NA,NA
"573","@BernieSanders wft, she just said she would debate with Bernie a day ago",FALSE,0,"BernieSanders",2016-02-02 23:52:06,FALSE,"694667209797316608","694669652576829440","216776631","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","649921479",0,FALSE,FALSE,NA,NA
"574","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:05,FALSE,NA,"694669651482009601",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_calcifer__",1528,TRUE,FALSE,NA,NA
"575","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:52:04,FALSE,NA,"694669647509983233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eriiclindberg",1528,TRUE,FALSE,NA,NA
"576","RT @BernieSanders: In the year 2016, public colleges and universities should be tuition free. How will we pay for it? We're gonna tax Wall …",FALSE,0,NA,2016-02-02 23:52:02,FALSE,NA,"694669635912912896",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","froligozene",2440,TRUE,FALSE,NA,NA
"577","What will @BernieSanders do - nothing! &amp; If he doesn't, he should NOT be #potus #CoinTossGate #ClintonMachine FIGHT! https://t.co/a2dDflIxlm",FALSE,0,NA,2016-02-02 23:52:00,FALSE,NA,"694669628648394752",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Baron987",0,FALSE,FALSE,NA,NA
"578","RT @BernieSanders: We accomplished what the political establishment said was impossible. Don't underestimate us https://t.co/DeV0NhI2mi htt…",FALSE,0,NA,2016-02-02 23:51:56,FALSE,NA,"694669612458328064",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MechEngine117",15596,TRUE,FALSE,NA,NA
"579","RT @BernieSanders: In the year 2016, public colleges and universities should be tuition free. How will we pay for it? We're gonna tax Wall …",FALSE,0,NA,2016-02-02 23:51:56,FALSE,NA,"694669610243624961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ADAM_88MPH",2440,TRUE,FALSE,NA,NA
"580","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:51:54,FALSE,NA,"694669605533413376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","coltonthomas24",1528,TRUE,FALSE,NA,NA
"581","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:51:52,FALSE,NA,"694669595727241216",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jrzygirlinfla",1528,TRUE,FALSE,NA,NA
"582","RT @BernieSanders: Blitzer: ""The debate in New York City that they want. Are you accepting that?""

Clinton: ""No...""
https://t.co/klNDtKYeM1",FALSE,0,NA,2016-02-02 23:51:50,FALSE,NA,"694669586260602880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FerrickThomas",1528,TRUE,FALSE,NA,NA
"583","RT @BiologistDan: To win an election you need, #Honesty, #Integrity, and a Noble Plan and cats #FeeltheBern @BernieSanders #cats https://t.…",FALSE,0,NA,2016-02-02 23:51:49,FALSE,NA,"694669582116630528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","artemis33",26,TRUE,FALSE,NA,NA
"584","Question: What will @BernieSanders  actually do that Obama couldn't or was unable to do? #Bernie2016 #BernieSanders #IowaCaucusresults",FALSE,1,NA,2016-02-02 23:51:48,FALSE,NA,"694669579835019265",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BrainChild3000",0,FALSE,FALSE,NA,NA
