"","x"
"1244","higher"
"1245","hilary"
"1246","hillary"
"1247","hillarys"
"1248","hillbilly"
"1249","hire"
"1250","hired"
"1251","hitler"
"1252","hits"
"1253","hmm"
"1254","hole"
"1255","honest"
"1256","honestly"
"1257","honor"
"1258","hoo"
"1259","hopeful"
"1260","hopefully"
"1261","hoping"
"1262","horrible"
"1263","horseshit"
"1264","hour"
"1265","house"
"1266","housebilly"
"1267","howard"
"1268","however"
"1269","hshtag"
"1270","huckabee"
"1271","huh"
"1272","human"
"1273","humility"
"1274","humor"
"1275","hurling"
"1276","hurtandrew"
"1277","huuge"
"1278","huuuu"
"1279","hypnosis"
"1280","hysterical"
"1281","hysterically"
"1282","idea"
"1283","idiots"
"1284","ifeelbetterformula"
"1285","illegal"
"1286","illegitimate"
"1287","ily"
"1288","important"
"1289","impressed"
"1290","impunity"
"1291","imwithherhillary"
"1292","inb4"
"1293","include"
"1294","incoherent"
"1295","incredibly"
"1296","ineligible"
"1297","inevitable"
"1298","inexperienced"
"1299","information"
"1300","inspired"
"1301","instant"
"1302","instead"
"1303","intense"
"1304","intolerant"
"1305","introducing"
"1306","invalid"
"1307","invention"
"1308","investigationtime"
"1309","involved"
"1310","iowaafter"
"1311","iowacaucusresults"
"1312","iowano"
"1313","irc"
"1314","irl"
"1315","isis"
"1316","isisdemtownhall"
"1317","islamophobia"
"1318","island"
"1319","issucks"
"1320","itll"
"1321","itself"
"1322","ittill"
"1323","iwokeuplikethis"
"1324","j2150f"
"1325","jarvelous"
"1326","jebbush"
"1327","jedi"
"1328","joke"
"1329","jst"
"1330","judson"
"1331","jump"
"1332","justified"
"1333","kanye2020"
"1334","karma"
"1335","kathryn"
"1336","kcol"
"1337","ken"
"1338","keyword"
"1339","kid"
"1340","kidscompany"
"1341","killing"
"1342","knife"
"1343","knowitall"
"1344","knucklehead"
"1345","labels"
"1346","lacks"
"1347","lance"
"1348","landed"
"1349","laughed"
"1350","laughs"
"1351","laundered"
"1352","law"
"1353","lawsuitis"
"1354","lawyers"
"1355","lawyerswe"
"1356","layoffs"
"1357","lazy"
"1358","leader"
"1359","leadership"
"1360","leading"
"1361","league"
"1362","led"
"1363","letcarlydebate"
"1364","letter"
"1365","lexicon"
"1366","liar"
"1367","liarattacks"
"1368","liarno"
"1369","liberals"
"1370","lie"
"1371","lied"
"1372","lieddonald"
"1373","liens"
"1374","liiiiiiiife"
"1375","likeability"
"1376","line"
"1377","lit"
"1378","literally"
"1379","live"
"1380","lives"
"1381","living"
"1382","lmbolol"
"1383","lmfao"
"1384","loan"
"1385","lolololol"
"1386","lookd"
"1387","looked"
"1388","loompa"
"1389","losangeles"
"1390","loserinchief"
"1391","loss"
"1392","loves"
"1393","low"
"1394","lowtaxes"
"1395","m"
"1396","madeup"
"1397","mailer"
"1398","malema"
"1399","malleable"
"1400","managed"
